zip_code,time_zone_id,state
71937,3,AR
72044,3,AR
56171,3,MN
49430,2,MI
52585,3,IA
47520,2,IN
49464,2,MI
49919,2,MI
52401,3,IA
35979,3,AL
36350,3,AL
38401,3,TN
41065,2,KY
55302,3,MN
29607,2,SC
31150,2,GA
31646,2,GA
31826,2,GA
17932,2,PA
18947,2,PA
20227,2,DC
14043,2,NY
15278,2,PA
15482,2,PA
33446,2,FL
27915,2,NC
23328,2,VA
24062,2,VA
26253,2,WV
02472,2,MA
07309,2,NJ
00623,1,PR
52163,3,IA
52216,3,IA
53031,3,WI
60651,3,IL
62090,3,IL
62420,3,IL
64503,3,MO
65325,3,MO
65638,3,MO
74801,3,OK
75475,3,TX
75757,3,TX
63179,3,MO
63436,3,MO
57440,3,SD
72112,3,AR
72714,3,AR
99671,7,AK
97304,6,OR
97414,6,OR
81148,4,CO
81423,4,CO
81505,4,CO
81624,4,CO
82718,4,WY
89317,6,NV
92232,6,CA
93227,6,CA
93234,6,CA
93529,6,CA
93761,6,CA
94931,6,CA
95322,6,CA
30334,2,GA
36879,3,AL
38017,3,TN
43984,2,OH
46787,2,IN
31606,2,GA
55992,3,MN
13827,2,NY
14739,2,NY
15227,2,PA
16877,2,PA
31732,2,GA
32621,2,FL
21634,2,MD
24008,2,VA
25645,2,WV
34447,2,FL
35004,3,AL
27834,2,NC
28373,2,NC
11703,2,NY
02909,2,RI
04617,2,ME
07961,2,NJ
00767,1,PR
00803,1,VI
43681,2,OH
36744,3,AL
37616,2,TN
38602,3,MS
50519,3,IA
40081,2,KY
30444,2,GA
90038,6,CA
90063,6,CA
92709,6,CA
93492,6,CA
94175,6,CA
84530,4,UT
95592,6,CA
38138,3,TN
40298,2,KY
56517,3,MN
57841,3,SD
58323,3,ND
58533,4,ND
58771,3,ND
58793,3,ND
53171,3,WI
53189,3,WI
56091,3,MN
43733,2,OH
47613,3,IN
51049,3,IA
51651,3,IA
53014,3,WI
43334,2,OH
62206,3,IL
64155,3,MO
48215,2,MI
30531,2,GA
20521,2,DC
20557,2,DC
23176,2,VA
16830,2,PA
16876,2,PA
11707,2,NY
12442,2,NY
13334,2,NY
13626,2,NY
24620,2,VA
25521,2,WV
34489,2,FL
17866,2,PA
17882,2,PA
18466,2,PA
19173,2,PA
28039,2,NC
28206,2,NC
28282,2,NC
96778,8,HI
97298,6,OR
97538,6,OR
98520,6,WA
98579,6,WA
93701,6,CA
94295,6,CA
16601,2,PA
17301,2,PA
19420,2,PA
32503,3,FL
36268,3,AL
24292,2,VA
26267,2,WV
27341,2,NC
08887,2,NJ
71284,3,LA
71423,3,LA
71443,3,LA
48226,2,MI
48503,2,MI
49756,2,MI
50675,3,IA
78650,3,TX
80402,4,CO
83121,4,WY
92693,6,CA
93140,6,CA
93255,6,CA
75010,3,TX
76054,3,TX
68743,3,NE
85268,5,AZ
45841,2,OH
65047,3,MO
67102,3,KS
67954,3,KS
68792,3,NE
75961,3,TX
76452,3,TX
76855,3,TX
80235,4,CO
80620,4,CO
81001,4,CO
83401,4,ID
85292,5,AZ
57481,3,SD
58723,3,ND
78349,3,TX
79381,3,TX
63626,3,MO
23290,2,VA
23486,2,VA
24069,2,VA
15773,2,PA
16665,2,PA
16927,2,PA
30746,2,GA
32830,2,FL
33756,2,FL
20868,2,MD
21849,2,MD
22218,2,VA
17570,2,PA
17942,2,PA
18456,2,PA
18834,2,PA
18921,2,PA
19134,2,PA
29164,2,SC
54020,3,WI
55125,3,MN
56039,3,MN
39072,3,MS
39154,3,MS
08817,2,NJ
10965,2,NY
12151,2,NY
12195,2,NY
18216,2,PA
02169,2,MA
02375,2,MA
02639,2,MA
77590,3,TX
78013,3,TX
68832,3,NE
42046,3,KY
43652,2,OH
62611,3,IL
70005,3,LA
71048,3,LA
26865,2,WV
28007,2,NC
54964,3,WI
56011,3,MN
19318,2,PA
21241,2,MD
50167,3,IA
80202,4,CO
84305,4,UT
85382,5,AZ
93465,6,CA
94160,6,CA
94164,6,CA
95383,6,CA
95665,6,CA
79917,4,TX
90301,6,CA
60974,3,IL
62001,3,IL
92543,6,CA
92837,6,CA
14617,2,NY
15238,2,PA
21767,2,MD
02886,2,RI
03648,2,NH
04981,2,ME
05061,2,VT
05648,2,VT
19488,2,PA
19524,2,PA
00982,1,PR
37407,2,TN
38704,3,MS
38912,3,MS
30415,2,GA
31525,2,GA
32798,2,FL
43719,2,OH
43748,2,OH
47649,3,IN
35576,3,AL
36535,3,AL
37367,3,TN
27107,2,NC
24324,2,VA
41132,2,KY
43506,2,OH
28584,2,NC
29325,2,SC
95965,6,CA
97844,6,OR
83429,4,ID
78148,3,TX
78588,3,TX
65777,3,MO
67050,3,KS
67645,3,KS
56522,3,MN
58405,3,ND
60025,3,IL
50278,3,IA
50569,3,IA
52156,3,IA
51530,3,IA
51656,3,IA
53009,3,WI
55381,3,MN
30263,2,GA
30384,2,GA
30728,2,GA
31714,2,GA
33315,2,FL
33994,2,FL
34209,2,FL
47261,2,IN
37050,3,TN
15665,2,PA
17265,2,PA
17585,2,PA
19511,2,PA
08406,2,NJ
29520,2,SC
29615,2,SC
11716,2,NY
12719,2,NY
23435,2,VA
24550,2,VA
25918,2,WV
27028,2,NC
27049,2,NC
95655,6,CA
91189,6,CA
93099,6,CA
98604,6,WA
87413,4,NM
02382,2,MA
02719,2,MA
62676,3,IL
79370,3,TX
71226,3,LA
72542,3,AR
72686,3,AR
72927,3,AR
83355,4,ID
83641,4,ID
84307,4,UT
60139,3,IL
60438,3,IL
68636,3,NE
66532,3,KS
55723,3,MN
39478,3,MS
49041,2,MI
61107,3,IL
58072,3,ND
59333,4,MT
35283,3,AL
42163,3,KY
49157,2,MI
43735,2,OH
44403,2,OH
50581,3,IA
33850,2,FL
35259,3,AL
35593,3,AL
40118,2,KY
40371,2,KY
13479,2,NY
15564,2,PA
15944,2,PA
17052,2,PA
30747,2,GA
31754,2,GA
32746,2,FL
33801,2,FL
23178,2,VA
10072,2,NY
10166,2,NY
10998,2,NY
21623,2,MD
29336,2,SC
29348,2,SC
11560,2,NY
18355,2,PA
36538,3,AL
37322,2,TN
43081,2,OH
27105,2,NC
44398,2,OH
46731,2,IN
33659,2,FL
02875,2,RI
04630,2,ME
06053,2,CT
00714,1,PR
02126,2,MA
14150,2,NY
30339,2,GA
32361,2,FL
32634,2,FL
33523,2,FL
33706,2,FL
24605,2,VA
25444,2,WV
26280,2,WV
18465,2,PA
12197,2,NY
13147,2,NY
28519,2,NC
26561,2,WV
82937,4,WY
64070,3,MO
64471,3,MO
75075,3,TX
68118,3,NE
79080,3,TX
70059,3,LA
90845,6,CA
92114,6,CA
98144,6,WA
98833,6,WA
95692,6,CA
95826,6,CA
93458,6,CA
61866,3,IL
77046,3,TX
77581,3,TX
67149,3,KS
57231,3,SD
74061,3,OK
82412,4,WY
75712,3,TX
75756,3,TX
85225,5,AZ
86508,5,AZ
87579,4,NM
93215,6,CA
94973,6,CA
98587,6,WA
98639,6,WA
04327,2,ME
04747,2,ME
05452,2,VT
06410,2,CT
02769,2,MA
54875,3,WI
55018,3,MN
37421,2,TN
46904,2,IN
05155,2,VT
06074,2,CT
15242,2,PA
17010,2,PA
23101,2,VA
60697,3,IL
23297,2,VA
62464,3,IL
58370,3,ND
72536,3,AR
73644,3,OK
74330,3,OK
30354,2,GA
80454,4,CO
37774,2,TN
39731,3,MS
72314,3,AR
44022,2,OH
72774,3,AR
53803,3,WI
54565,3,WI
54757,3,WI
54936,3,WI
55054,3,MN
62248,3,IL
29260,2,SC
42104,3,KY
43115,2,OH
44333,2,OH
34101,2,FL
39067,3,MS
23025,2,VA
23228,2,VA
23541,2,VA
28386,2,NC
32971,2,FL
73834,3,OK
75294,3,TX
81422,4,CO
82242,4,WY
84133,4,UT
85262,5,AZ
93308,6,CA
93611,6,CA
94131,6,CA
94249,6,CA
96062,6,CA
97378,6,OR
15555,2,PA
16662,2,PA
16940,2,PA
17212,2,PA
08835,2,NJ
12771,2,NY
12810,2,NY
13350,2,NY
24513,2,VA
22720,2,VA
13655,2,NY
03266,2,NH
76503,3,TX
77015,3,TX
77550,3,TX
78041,3,TX
80720,4,CO
83215,4,ID
83554,6,ID
96720,8,HI
97368,6,OR
97877,6,OR
98622,6,WA
89009,6,NV
89047,6,NV
89412,6,NV
99124,6,WA
99554,7,AK
28772,2,NC
29708,2,SC
31069,2,GA
36801,3,AL
38124,3,TN
47163,2,IN
47488,2,IN
04033,2,ME
23191,2,VA
23834,2,VA
23839,2,VA
25140,2,WV
18221,2,PA
18825,2,PA
19115,2,PA
30663,2,GA
15612,2,PA
06520,2,CT
93110,6,CA
95005,6,CA
95337,6,CA
98932,6,WA
87184,4,NM
87537,4,NM
37048,3,TN
62549,3,IL
63453,3,MO
63534,3,MO
63834,3,MO
81658,4,CO
70718,3,LA
71748,3,AR
72118,3,AR
78011,3,TX
83547,4,ID
66075,3,KS
54931,3,WI
48164,2,MI
48444,2,MI
